Date,Server1,Server2,Server3
20100101,1013.48413154675,2974.72416826679,1741.16652117591
20100102,3367.40910905221,3438.39451542872,2968.45403872022
20100103,8002.91618552203,1017.13878548862,1584.2934516839
20100104,3287.85877115545,4719.5906683163,8382.31737219745
20100105,1244.59024777861,6970.59420372438,7210.07660324794
20100106,2988.27055687388,2918.35391051368,259.428732470579
20100107,4259.06731850756,3688.81870980788,1918.07531964971
20100108,1436.92878503217,3269.50858387773,9736.56236458384
20100109,9900.03386235942,9901.57728802369,9598.98598419609
20100110,7600.06831914708,510.150305391914,3357.5222689289
20100111,374.165655490503,1741.60576697297,6272.25676427117
20100112,5812.52493161683,6170.83010649343,9011.82076292134
20100113,8429.97827559774,1082.62701433838,8166.78163713795
20100114,6718.89771369695,6175.9796883409,1729.66054390428
20100115,5845.5464152424,1597.29912852193,1780.38616479066
20100116,9745.67404817731,5825.54089851149,7788.82760944606
20100117,8191.29688727853,1392.12714599344,3667.98865471665
20100118,6810.50225149134,8975.45143625741,2390.20563445386
20100119,5842.8747893203,3325.74077115821,7858.36979555872
20100120,6747.71665397579,2738.40013462849,3184.24750312594
20100121,7082.32494151331,2875.24655627507,6786.04283211083
20100122,1072.88340601904,6135.07014798483,7993.41452009599
20100123,828.383086240416,4789.95477413215,1421.81149409382
20100124,3775.98681225076,3056.74542144103,327.970333955242
20100125,3510.40469777771,1917.44838581768,6079.40377339151
20100126,9675.55411728013,3970.72477490699,4731.71552283975
20100127,2668.05491571419,5533.79819640547,484.057174184154
20100128,2356.24248996511,9996.18788326722,6177.20777689445
20100129,5987.61915060994,9403.47869943606,1296.31205313088
20100130,1705.08896442278,2602.09009808526,3078.83430144876
20100131,7632.89647064553,4335.32811179094,5143.95545584164
20100201,9568.52075319064,5270.76321399143,8109.63375075025
20100202,723.016590823039,4747.44578951625,883.71320901573
20100203,6136.08411184105,5917.62280661228,3970.45635581365
20100204,2638.22309413244,5494.57880505019,3919.6225409203
20100205,685.146657497628,8448.79177704756,6060.6341627935
20100206,9154.64178430159,9559.58533440176,8052.92776346243
20100207,7005.86080723071,8850.96793895467,2010.60847015367
20100208,7123.20054131962,8108.21877127431,1816.204650163
20100209,5705.1337460847,1193.84936732165,7804.00940530763
20100210,3223.6664688919,3163.36652443448,8536.29085538969
20100211,2685.73266403406,472.986428769373,1202.18151515645
20100212,6908.83500029252,4389.54171623441,4800.46438518165
20100213,7705.85741695247,1003.7180101516,3485.92023358895
20100214,2772.84450952037,1490.91515381497,5875.52838764033
20100215,7102.22016057916,2559.73336157999,9009.41219339177
20100216,2174.86695788003,5559.9819547343,7121.37849314536
20100217,5348.46639731155,1575.08834895172,3974.15706730858
20100218,769.644808958415,7594.95563383396,7107.64193201395
20100219,4970.95905508402,621.522457251561,6074.47331557184
20100220,3004.30719327739,8230.25398664244,743.965032460199
20100221,3033.45890409725,9135.90615887881,2980.40207168401
20100222,5808.62174530198,348.777322468461,183.83230647527
20100223,3146.07677801374,842.013444895667,2536.984552102
20100224,7357.03296535159,5248.55030908427,7.4401188169837
20100225,1769.86320615641,5744.28713496578,8886.64666008617
20100226,1370.73900822998,6216.24669359482,4650.95631447839
20100227,7254.23968964667,4817.97616164621,7724.60076485003
20100228,6697.03375206413,5291.2683991308,4978.67332306657
20100301,766.851393734778,4457.82771040044,8215.82120818947
20100302,2638.73239760118,2312.87153345313,3935.50511895107
20100303,3980.10898468132,6775.64276692635,738.541718184326
20100304,547.285388787777,5467.51808669633,8586.78738103337
20100305,5991.5437723579,4253.78410410006,3485.22802972222
20100306,5299.61734138333,5426.99083324984,8960.987839379
20100307,6418.42395991028,3886.27814012563,2649.66380455359
20100308,3138.27144246792,7155.36517236242,750.174585688891
20100309,8649.0293785664,4471.04926204119,6091.04146697654
20100310,8500.73783233786,6437.23882185461,5350.13852552092
20100311,909.285046935262,68.7682717095162,3241.84763367436
20100312,3910.68635770575,6194.62096719126,8429.36279929466
20100313,4481.06518595899,7468.79669359425,2839.33683910079
20100314,8134.60360579868,6852.32743198379,8133.01059694469
20100315,7938.75085127978,4186.38414009638,9810.79453880574
20100316,7883.7582749584,3907.79299406809,7631.25594434742
20100317,2379.63310281934,8972.93858523917,6757.14910246006
20100318,5846.95158357023,5469.20434202717,4898.44879818283
20100319,5904.88398616278,6418.0084950099,3178.54492102398
20100320,2144.51533936852,2917.20292720452,5367.09191852075
20100321,6942.37428248335,7839.72693235882,9268.62536796656
20100322,7021.84118044621,9654.64945337959,5766.12525189337
20100323,3738.05368229624,4526.77054550572,5200.62616049245
20100324,1880.10865995344,6872.22983609534,9502.52630539853
20100325,7495.18172950674,4786.8392505558,9777.54301019941
20100326,779.627125970536,5808.04897318098,3495.53227226962
20100327,5479.83264437916,6498.82777057361,7813.1587548439
20100328,4549.8176620206,9240.20206474557,4720.92750475676
20100329,9936.06479718188,6924.1078305877,4656.08600048871
20100330,4065.38002064381,4604.29526931409,5889.40291955516
20100331,2604.19284525574,6562.22684908048,8121.46829460696
20100401,2413.81671189504,8430.94244569968,6818.02247102198
20100402,4637.21863858285,699.272881322887,4376.29326718554
20100403,7395.00445606566,2051.87947741118,7248.0339137842
20100404,1394.26535270709,185.414453843007,5528.56330657879
20100405,8962.20284010124,585.795440183872,2214.47788635243
20100406,909.809113295534,3341.95327091174,1454.5026242984
20100407,6233.47203980085,8950.6644455885,6286.31491143437
20100408,6438.47450978327,2409.01552101758,7948.72867941667
20100409,9723.47814230001,2580.81526342621,3484.15353994167
20100410,6365.49927910414,9260.9129996152,3252.99294497958
20100411,5014.40542374599,6480.64375493456,7792.27460690306
20100412,6662.35938203959,4235.36061399128,8865.19531155829
20100413,7282.05647335432,4550.0144810205,4417.38042486997
20100414,2733.76767830372,7319.86644191219,8339.26099508509
20100415,2507.96460403021,7238.8715980666,8975.65181027446
20100416,1131.37020539008,5390.41491952875,4655.70270557074
20100417,8540.65977558621,2286.77350193211,9815.85208514193
20100418,4427.15979230021,7169.55222638895,1518.67251831997
20100419,2721.62328271544,3967.35040068066,9781.56765733227
20100420,7200.20278713287,7114.75297258304,6200.74090350968
20100421,5975.20634541573,6059.07866000919,7960.68578028394
20100422,9286.61743376196,417.167809171055,3858.10569137874
